RANK,SAB,TTY,SUPPRESS
0700,ICPC2EENG,CO,N
0699,ICPC,CO,N
0698,MTHICPC2EAE,AB,Y
0697,ICPC2EENG,AB,Y
0696,ICPC2P,PTN,N
0695,ICPC2P,MTH_PTN,N
0694,ICPC2P,PT,N
0693,ICPC2P,MTH_PT,Y
0692,AOT,PT,N
0691,AOT,ET,N
0690,GO,PT,N
0689,GO,MTH_PT,N
0688,GO,ET,N
0687,GO,MTH_ET,N
0686,GO,SY,N
0685,GO,MTH_SY,N
0684,PDQ,ET,N
0683,PDQ,CU,N
0682,PDQ,LV,N
0681,PDQ,ACR,N
0680,PDQ,AB,N
0679,PDQ,BN,N
0678,PDQ,FBD,N
0677,PDQ,CCN,N
0676,PDQ,CHN,N
0675,NCBI,USN,N
0674,NCBI,USY,N
0673,NCBI,SY,N
0672,NCBI,UCN,N
0671,NCBI,CMN,N
0670,NCBI,UE,N
0669,NCBI,EQ,N
0668,LNC,LN,N
0667,LNC,MTH_LN,N
0666,LNC,OSN,N
0665,LNC,DN,N
0664,LNC,ODN,Y
0663,LNC,CN,N
0662,LNC,MTH_CN,N
0661,LNC,LPDN,N
0660,LNC,LPN,N
0659,LNC,HC,N
0658,LNC,HS,N
0657,LNC,OLC,Y
0656,LNC,LC,N
0655,LNC,LS,N
0654,LNC,LG,N
0653,LNC,LA,N
0652,ICD10CM,PT,N
0651,ICD9CM,PT,N
0650,ICD10CM,HT,N
0649,ICD9CM,HT,N
0648,CCSR_ICD10PCS,HT,N
0647,CCSR_ICD10CM,SD,N
0646,CCSR_ICD10PCS,SP,N
0645,CCSR_ICD10CM,XM,N
0644,CCSR_ICD10PCS,XM,N
0643,CCS,HT,N
0642,CCS,MD,N
0641,CCS,SD,N
0640,CCS,MV,N
0639,CCS,SP,N
0638,CCS,XM,N
0637,ICPC2ICD10ENG,XM,N
0636,ICD10AE,HT,N
0635,ICD10PCS,PT,N
0634,ICD10PCS,PX,N
0633,ICD10PCS,HX,N
0632,ICD10PCS,MTH_HX,N
0631,ICD10PCS,HT,N
0630,ICD10PCS,HS,Y
0629,ICD10PCS,AB,Y
0628,ICD10,HT,N
0627,ICD10AE,HX,N
0626,ICD10,HX,N
0625,ICD10AE,HS,Y
0624,ICD10,HS,Y
0623,ICD10AMAE,HT,N
0622,ICD10AM,HT,N
0621,UMD,HT,N
0620,ICPC,HT,N
0619,ORPHANET,PT,N
0618,ORPHANET,SY,N
0617,NUCCHCPT,PT,N
0616,HL7V3.0,CSY,N
0615,CDCREC,PT,N
0614,CDCREC,FN,N
0613,HL7V3.0,PT,N
0612,HL7V2.5,PT,N
0611,HL7V3.0,CDO,N
0610,HL7V3.0,VS,N
0609,HL7V3.0,BR,N
0608,HL7V3.0,CPR,N
0607,HL7V3.0,CR,N
0606,HL7V3.0,NPT,N
0605,HL7V2.5,HTN,N
0604,CPT,HT,N
0603,CDT,HT,N
0602,HCPCS,MTH_HT,N
0601,CCC,PT,N
0600,CCC,HT,N
0599,NIC,IV,N
0598,NIC,HC,N
0597,NANDA-I,PT,N
0596,NANDA-I,HT,N
0595,NANDA-I,HC,N
0594,NANDA-I,RT,N
0593,OMS,MTH_SI,N
0592,OMS,PR,N
0591,OMS,TG,N
0590,OMS,HT,N
0589,OMS,PQ,N
0588,OMS,IVC,N
0587,OMS,SI,N
0586,OMS,SCALE,N
0585,NIC,AC,N
0584,NOC,OC,N
0583,NOC,ID,N
0582,NIC,HT,N
0581,NOC,HT,N
0580,NOC,HC,N
0579,CCC,MTH_HT,N
0578,CCC,MP,N
0577,ALT,PT,N
0576,ALT,HT,N
0575,MTH,CV,N
0574,MTH,XM,N
0573,MTH,PT,N
0572,MTH,SY,N
0571,MTH,RT,N
0570,ICD10CM,ET,N
0569,MTHICD9,ET,N
0568,ICD10CM,AB,Y
0567,ICD9CM,AB,Y
0566,PSY,PT,N
0565,PSY,HT,N
0564,PSY,ET,N
0563,MEDLINEPLUS,ACR,N
0562,MEDLINEPLUS,ET,N
0561,MEDLINEPLUS,SY,N
0560,MEDLINEPLUS,HT,N
0559,LCH_NW,PT,N
0558,LCH,PT,N
0557,MSH,HT,N
0556,MSH,HS,N
0555,MSH,DEV,Y
0554,MSH,QAB,Y
0553,MSH,QEV,Y
0552,MSH,PM,N
0551,LCH_NW,XM,N
0550,CPT,AB,Y
0549,HCPT,AB,Y
0548,HCPCS,AB,Y
0547,WHO,PT,N
0546,WHO,HT,N
0545,WHO,IT,N
0544,SNMI,PT,N
0543,SNMI,PX,Y
0542,SNMI,HT,N
0541,SNMI,HX,Y
0540,SNMI,RT,N
0539,SNMI,SY,N
0538,SNMI,SX,Y
0537,SNMI,AD,N
0536,SNM,PT,N
